Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
JF 6555|ИЛ-62|103|Москва|Внуково|Иркутск|Иркутск|04.11.2020 9:43:00|04.11.2020 11:26:00|
PL 0467|Боинг-777|92|Новокузнецк|Спиченково|Оренбург|Оренбург-Центральный|04.11.2020 9:40:00|04.11.2020 11:55:00|
BP 5452|Сc-100|86|Провидения|Бухта Провидения|Сабетта|Сабетта|04.11.2020 18:52:00|04.11.2020 20:10:00|
ZO 5476|Аэробус-A320|100|Сочи|Адлер|Нальчик|Нальчик|04.11.2020 1:39:00|04.11.2020 4:26:00|
VD 9192|Боинг-767|118|Псков|Кресты|Чита|Кадала|04.11.2020 17:55:00|04.11.2020 21:36:00|
RF 3702|ИЛ-96М|312|Анадырь|Угольный|Провидения|Бухта Провидения|04.11.2020 13:05:00|04.11.2020 17:27:00|
ZQ 1185|Боинг-747|110|Минеральные Воды|Минеральные Воды|Саранск|Саранск|04.11.2020 20:30:00|05.11.2020 0:23:00|
DQ 8148|ИЛ-96М|142|Новокузнецк|Спиченково|Варандей|Варандей|04.11.2020 18:02:00|04.11.2020 20:43:00|
ZR 8884|Ту-134|35|Новосибирск|Толмачёво|Уфа|Уфа|04.11.2020 1:30:00|04.11.2020 2:40:00|
TE 5784|Сc-100|51|Томск|Богашёво|Новокузнецк|Спиченково|04.11.2020 18:55:00|04.11.2020 20:49:00|
LH 8284|Ту-154 |99|Сыктывкар|Сыктывкар|Самара|Самара|04.11.2020 5:32:00|04.11.2020 10:01:00|
SD 6917|Аэробус-A310|101|Сабетта|Сабетта|Минеральные Воды|Минеральные Воды|04.11.2020 11:47:00|04.11.2020 14:03:00|
IC 0960|Боинг-777|171|Саранск|Саранск|Москва|Шереметьево|04.11.2020 7:19:00|04.11.2020 8:20:00|
JA 5343|Сc-100|94|Барнаул|Барнаул|Саратов|Гагарин|04.11.2020 17:51:00|04.11.2020 20:24:00|
MO 8013|ИЛ-96|123|Владивосток|Кневичи|Кемерово|Кемерово|04.11.2020 9:49:00|04.11.2020 11:05:00|
TH 2703|Аэробус-A320|101|Владикавказ|Беслан|Воронеж|Чертовицкое|04.11.2020 18:15:00|04.11.2020 23:07:00|
RH 3203|Ту-154 |72|Брянск|Брянск|Петропавловск - Камчатский|Елизово|04.11.2020 17:40:00|04.11.2020 19:45:00|
NB 4411|Аэробус-A310|101|Волгоград|Гумрак|Петрозаводск|Петрозаводск|04.11.2020 16:21:00|04.11.2020 20:08:00|
AY 2810|Боинг-737|50|Грозный|Северный|Улан - Удэ|Мухино|04.11.2020 4:56:00|04.11.2020 6:40:00|
QL 8095|Ту-134|80|Магнитогорск|Магнитогорск|Симферополь|Симферополь|04.11.2020 15:40:00|04.11.2020 16:51:00|
HK 6996|Боинг-747|171|Якутск|Якутск|Хабаровск|Хабаровск-Новый|04.11.2020 23:18:00|05.11.2020 2:11:00|
KB 0702|ИЛ-96М|419|Воронеж|Чертовицкое|Ульяновск|Восточный|04.11.2020 12:07:00|04.11.2020 15:38:00|
TO 9045|Ту-204|78|Нижневартовск|Нижневартовск|Белгород|Белгород|04.11.2020 14:13:00|04.11.2020 18:32:00|
DE 7088|Аэробус-A330|286|Ульяновск|Баратаевка|Брянск|Брянск|04.11.2020 16:35:00|04.11.2020 20:16:00|
PR 0480|Боинг-747|165|Нижний Новгород|Стригино|Новокузнецк|Спиченково|04.11.2020 11:56:00|04.11.2020 14:28:00|
PT 3184|ИЛ-96М|201|Тюмень|Рощино|Мурманск|Мурманск|04.11.2020 3:09:00|04.11.2020 4:10:00|
JA 1322|ИЛ-96-300|228|Иркутск|Иркутск|Абакан|Абакан|04.11.2020 23:04:00|05.11.2020 1:02:00|
FP 4953|Ту-154 |98|Нижний Новгород|Стригино|Омск|Омск-Центральный|04.11.2020 3:39:00|04.11.2020 5:49:00|
UW 4569|ИЛ-62|174|Москва|Шереметьево|Казань|Казань|04.11.2020 4:19:00|04.11.2020 6:12:00|
DG 1131|Аэробус-A310|176|Воронеж|Чертовицкое|Ставрополь|Шпаковское|04.11.2020 20:54:00|05.11.2020 1:13:00|
WG 1806|Боинг-767|251|Москва|Внуково|Махачкала|Уйташ|04.11.2020 15:20:00|04.11.2020 16:35:00|
CA 0927|Сc-100|36|Петрозаводск|Петрозаводск|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 8:23:00|04.11.2020 12:22:00|
FL 2867|Боинг-737|42|Грозный|Северный|Краснодар|Пашковский|04.11.2020 7:36:00|04.11.2020 9:31:00|
DA 2014|Боинг-747|154|Курган|Курган|Волгоград|Гумрак|04.11.2020 21:15:00|05.11.2020 0:24:00|
WK 7467|ИЛ-96-300|125|Владикавказ|Беслан|Грозный|Северный|04.11.2020 17:32:00|04.11.2020 21:21:00|
NG 9617|ИЛ-86|312|Курган|Курган|Ульяновск|Баратаевка|04.11.2020 21:31:00|05.11.2020 1:21:00|
VG 4254|Аэробус-A310|71|Сабетта|Сабетта|Братск|Братск|04.11.2020 9:44:00|04.11.2020 13:17:00|
FR 9325|ИЛ-96М|275|Новокузнецк|Спиченково|Калуга|Грабцево|04.11.2020 8:41:00|04.11.2020 9:54:00|
RN 5788|Боинг-777|224|Чебоксары|Чебоксары|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 19:55:00|04.11.2020 23:34:00|
IN 5245|Боинг-767|160|Иркутск|Иркутск|Волгоград|Гумрак|04.11.2020 0:58:00|04.11.2020 4:30:00|
PM 2320|ИЛ-96М|276|Краснодар|Пашковский|Сабетта|Сабетта|04.11.2020 14:55:00|04.11.2020 17:05:00|
FX 6621|ИЛ-96|122|Екатеринбург|Кольцово|Петрозаводск|Петрозаводск|04.11.2020 21:14:00|05.11.2020 1:25:00|
XC 5875|Боинг-737|48|Нижневартовск|Нижневартовск|Элиста|Элиста|04.11.2020 16:33:00|04.11.2020 19:56:00|
ZA 1029|ИЛ-96|75|Астрахань|Нариманово|Белгород|Белгород|04.11.2020 18:35:00|04.11.2020 23:18:00|
VH 1133|Ту-154 |102|Курган|Курган|Санкт - Петербург|Пулково|04.11.2020 21:23:00|05.11.2020 2:01:00|
WT 1089|Ту-154 |119|Москва|Домодедово|Ярославль|Туношна|04.11.2020 8:11:00|04.11.2020 10:29:00|
BV 6777|ИЛ-62|174|Самара|Самара|Воронеж|Чертовицкое|04.11.2020 1:20:00|04.11.2020 4:39:00|
PS 0472|Аэробус-A320|142|Череповец|Череповец|Иркутск|Иркутск|04.11.2020 1:00:00|04.11.2020 3:00:00|
XF 2457|Боинг-777|79|Москва|Внуково|Калуга|Грабцево|04.11.2020 20:35:00|05.11.2020 1:26:00|
RE 0390|Аэробус-A330|209|Провидения|Бухта Провидения|Псков|Кресты|04.11.2020 13:59:00|04.11.2020 16:08:00|
WG 9965|Аэробус-A330|282|Абакан|Абакан|Томск|Богашёво|04.11.2020 13:14:00|04.11.2020 16:34:00|
OP 5912|Боинг-747|242|Владикавказ|Беслан|Оренбург|Оренбург-Центральный|04.11.2020 6:32:00|04.11.2020 8:30:00|
QO 9187|ИЛ-96|92|Самара|Самара|Минеральные Воды|Минеральные Воды|04.11.2020 2:25:00|04.11.2020 5:54:00|
IV 4125|Ту-204|123|Санкт - Петербург|Пулково|Курск|Восточный|04.11.2020 17:39:00|04.11.2020 20:30:00|
OT 5996|ИЛ-96-300|150|Омск|Омск-Центральный|Минеральные Воды|Минеральные Воды|04.11.2020 11:49:00|04.11.2020 16:33:00|
CC 2694|ИЛ-96М|300|Череповец|Череповец|Элиста|Элиста|04.11.2020 6:02:00|04.11.2020 8:09:00|
ZA 8392|ИЛ-96М|252|Москва|Внуково|Кемерово|Кемерово|04.11.2020 17:45:00|04.11.2020 20:22:00|
AM 2749|ИЛ-62|106|Саранск|Саранск|Липецк|Липецк|04.11.2020 2:03:00|04.11.2020 4:28:00|
IR 9322|Боинг-767|202|Элиста|Элиста|Астрахань|Нариманово|04.11.2020 12:14:00|04.11.2020 14:53:00|
YO 5455|Боинг-767|175|Архангельск|Талаги|Омск|Омск-Центральный|04.11.2020 7:11:00|04.11.2020 10:03:00|
UZ 9007|ИЛ-62|146|Якутск|Якутск|Магнитогорск|Магнитогорск|04.11.2020 11:01:00|04.11.2020 12:16:00|
SV 6496|ИЛ-96М|152|Ставрополь|Шпаковское|Элиста|Элиста|04.11.2020 19:18:00|04.11.2020 23:26:00|
HR 7255|Сc-100|79|Анапа|Витязево|Брянск|Брянск|04.11.2020 18:56:00|04.11.2020 23:54:00|
XM 7290|ИЛ-96|114|Белгород|Белгород|Анадырь|Угольный|04.11.2020 21:36:00|05.11.2020 1:06:00|
JK 3481|Аэробус-A330|217|Владикавказ|Беслан|Брянск|Брянск|04.11.2020 20:43:00|05.11.2020 0:49:00|
BC 3479|ИЛ-96М|413|Ханты - Мансийск|Ханты - Мансийск|Новосибирск|Толмачёво|04.11.2020 6:31:00|04.11.2020 11:29:00|
XN 3419|Аэробус-A320|251|Элиста|Элиста|Нижнекамск|Бегишево|04.11.2020 8:32:00|04.11.2020 10:48:00|
KU 7689|ИЛ-96М|186|Брянск|Брянск|Омск|Омск-Центральный|04.11.2020 3:40:00|04.11.2020 5:41:00|
ME 6711|Боинг-777|203|Магадан|Сокол|Сургут|Сургут|04.11.2020 23:39:00|05.11.2020 4:34:00|
NE 8939|Боинг-767|154|Калининград|Храброво|Кемерово|Кемерово|04.11.2020 5:15:00|04.11.2020 9:01:00|
OQ 8631|Боинг-747|273|Чита|Кадала|Новосибирск|Толмачёво|04.11.2020 6:13:00|04.11.2020 8:38:00|
UG 5347|Боинг-777|213|Анадырь|Угольный|Москва|Внуково|04.11.2020 8:09:00|04.11.2020 10:02:00|
TX 8784|ИЛ-96-300|161|Ставрополь|Шпаковское|Череповец|Череповец|04.11.2020 0:41:00|04.11.2020 3:18:00|
CC 0955|Аэробус-A330|432|Симферополь|Симферополь|Красноярск|Емельяново|04.11.2020 22:55:00|05.11.2020 3:11:00|
DU 8364|ИЛ-96-300|106|Якутск|Якутск|Анапа|Витязево|04.11.2020 1:12:00|04.11.2020 5:01:00|
XZ 9465|Аэробус-A310|60|Чита|Кадала|Владикавказ|Беслан|04.11.2020 18:01:00|04.11.2020 22:28:00|
CA 2448|Боинг-737|35|Анапа|Витязево|Иркутск|Иркутск|04.11.2020 15:26:00|04.11.2020 17:43:00|
GY 2880|Боинг-737|101|Сыктывкар|Сыктывкар|Абакан|Абакан|04.11.2020 1:15:00|04.11.2020 4:52:00|
SO 7510|ИЛ-62|163|Псков|Кресты|Барнаул|Барнаул|04.11.2020 21:32:00|05.11.2020 0:40:00|
YA 6752|Ту-134|50|Чита|Кадала|Москва|Внуково|04.11.2020 18:06:00|04.11.2020 20:30:00|
ZU 0041|Ту-204|189|Москва|Жуковский|Нижневартовск|Нижневартовск|04.11.2020 5:30:00|04.11.2020 6:55:00|
GR 5913|ИЛ-62|95|Улан - Удэ|Мухино|Магнитогорск|Магнитогорск|04.11.2020 3:02:00|04.11.2020 5:56:00|
XY 3499|ИЛ-96|150|Курган|Курган|Анапа|Витязево|04.11.2020 17:36:00|04.11.2020 21:11:00|
ZP 6794|Сc-100|57|Санкт - Петербург|Пулково|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 17:00:00|04.11.2020 19:06:00|
SC 0988|Боинг-777|225|Майкоп|Майкоп|Южно - Сахалинск|Хомутово|04.11.2020 11:56:00|04.11.2020 15:15:00|
UE 3218|ИЛ-86|201|Петрозаводск|Петрозаводск|Чебоксары|Чебоксары|04.11.2020 13:04:00|04.11.2020 15:48:00|
LX 0035|ИЛ-96-300|193|Новосибирск|Толмачёво|Оренбург|Оренбург-Центральный|04.11.2020 16:24:00|04.11.2020 18:00:00|
VJ 7331|Боинг-747|161|Грозный|Северный|Владивосток|Кневичи|04.11.2020 1:27:00|04.11.2020 5:35:00|
BL 7895|Боинг-747|182|Волгоград|Гумрак|Воронеж|Чертовицкое|04.11.2020 21:17:00|05.11.2020 0:54:00|
BS 9756|Боинг-747|289|Якутск|Якутск|Курумоч|Курумоч|04.11.2020 18:14:00|04.11.2020 21:15:00|
PU 0569|Аэробус-A320|173|Курумоч|Курумоч|Сыктывкар|Сыктывкар|04.11.2020 20:41:00|05.11.2020 0:13:00|
RG 7648|Ту-154 |129|Красноярск|Емельяново|Магнитогорск|Магнитогорск|04.11.2020 9:28:00|04.11.2020 12:56:00|
AH 8900|Аэробус-A310|109|Владикавказ|Беслан|Орск|Орск|04.11.2020 8:39:00|04.11.2020 11:46:00|
BJ 1261|Ту-134|88|Новокузнецк|Спиченково|Краснодар|Пашковский|04.11.2020 6:17:00|04.11.2020 8:16:00|
MT 7096|Ту-134|31|Пермь|Большое Савино|Архангельск|Талаги|04.11.2020 16:46:00|04.11.2020 20:53:00|
CE 2993|Ту-134|90|Челябинск|Баландино|Москва|Домодедово|04.11.2020 14:04:00|04.11.2020 17:47:00|
IS 7835|Аэробус-A310|151|Анапа|Витязево|Москва|Домодедово|04.11.2020 15:04:00|04.11.2020 18:47:00|
KJ 4364|ИЛ-96|167|Кемерово|Кемерово|Челябинск|Баландино|04.11.2020 16:31:00|04.11.2020 18:42:00|
