Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
EM 8649|Боинг-737|39|Минеральные Воды|Минеральные Воды|Липецк|Липецк|13.06.2021 15:05:00|13.06.2021 19:29:00|
UY 6491|ИЛ-86|263|Барнаул|Барнаул|Нальчик|Нальчик|13.06.2021 23:40:00|14.06.2021 3:37:00|
FY 7173|Аэробус-A320|193|Чита|Кадала|Саратов|Гагарин|13.06.2021 6:55:00|13.06.2021 8:30:00|
IB 3471|Боинг-737|107|Астрахань|Нариманово|Томск|Богашёво|13.06.2021 5:57:00|13.06.2021 9:14:00|
SQ 7049|Боинг-777|187|Мурманск|Мурманск|Омск|Омск-Центральный|13.06.2021 8:17:00|13.06.2021 11:47:00|
IS 2243|ИЛ-96-300|221|Уфа|Уфа|Москва|Шереметьево|13.06.2021 9:34:00|13.06.2021 13:24:00|
CV 8445|Ту-204|84|Чебоксары|Чебоксары|Провидения|Бухта Провидения|13.06.2021 21:54:00|13.06.2021 23:50:00|
PN 4830|Сc-100|38|Уфа|Уфа|Майкоп|Майкоп|13.06.2021 16:46:00|13.06.2021 19:05:00|
VD 7553|ИЛ-96-300|221|Белгород|Белгород|Братск|Братск|13.06.2021 21:01:00|13.06.2021 22:32:00|
CR 4373|ИЛ-96|84|Ярославль|Туношна|Нижний Новгород|Стригино|13.06.2021 8:02:00|13.06.2021 9:24:00|
PA 5941|Аэробус-A320|93|Сабетта|Сабетта|Магадан|Сокол|13.06.2021 7:03:00|13.06.2021 10:15:00|
SS 2858|Сc-100|43|Архангельск|Талаги|Ростов - на - Дону|Платов|13.06.2021 11:34:00|13.06.2021 14:07:00|
PE 8945|ИЛ-96-300|259|Барнаул|Барнаул|Екатеринбург|Кольцово|13.06.2021 3:37:00|13.06.2021 7:43:00|
OW 1410|Аэробус-A330|367|Чита|Кадала|Сургут|Сургут|13.06.2021 17:40:00|13.06.2021 21:52:00|
YV 1394|Боинг-767|203|Красноярск|Емельяново|Ярославль|Туношна|13.06.2021 19:41:00|14.06.2021 0:16:00|
XG 5321|Сc-100|81|Мурманск|Мурманск|Воронеж|Чертовицкое|13.06.2021 1:34:00|13.06.2021 4:35:00|
SC 6431|ИЛ-62|148|Курган|Курган|Петропавловск - Камчатский|Елизово|13.06.2021 20:44:00|13.06.2021 22:53:00|
JL 0003|Боинг-737|53|Калуга|Грабцево|Волгоград|Гумрак|13.06.2021 4:33:00|13.06.2021 7:41:00|
GS 0760|Боинг-737|67|Архангельск|Талаги|Астрахань|Нариманово|13.06.2021 2:50:00|13.06.2021 6:35:00|
KA 2497|Аэробус-A320|251|Нижний Новгород|Стригино|Нижнекамск|Бегишево|13.06.2021 17:24:00|13.06.2021 18:56:00|
ZX 2164|Боинг-767|211|Пермь|Большое Савино|Ульяновск|Баратаевка|13.06.2021 14:32:00|13.06.2021 19:15:00|
XM 8669|Сc-100|53|Ростов - на - Дону|Платов|Махачкала|Уйташ|13.06.2021 23:46:00|14.06.2021 1:39:00|
DN 5093|ИЛ-86|215|Магадан|Сокол|Якутск|Якутск|13.06.2021 3:52:00|13.06.2021 6:25:00|
KM 9056|Боинг-767|79|Чита|Кадала|Ростов - на - Дону|Платов|13.06.2021 2:54:00|13.06.2021 7:15:00|
ZY 7032|ИЛ-96|111|Череповец|Череповец|Чита|Кадала|13.06.2021 4:32:00|13.06.2021 9:05:00|
IY 3497|Аэробус-A330|214|Кемерово|Кемерово|Казань|Казань|13.06.2021 10:33:00|13.06.2021 14:50:00|
PC 2524|Ту-204|81|Омск|Омск-Центральный|Владивосток|Кневичи|13.06.2021 18:15:00|13.06.2021 21:34:00|
BD 9707|ИЛ-96М|334|Магадан|Сокол|Симферополь|Симферополь|13.06.2021 15:30:00|13.06.2021 19:09:00|
PT 5493|ИЛ-96М|305|Челябинск|Баландино|Оренбург|Оренбург-Центральный|13.06.2021 5:23:00|13.06.2021 9:03:00|
LA 7706|Ту-204|125|Улан - Удэ|Мухино|Кемерово|Кемерово|13.06.2021 7:30:00|13.06.2021 9:20:00|
LQ 1005|Ту-134|69|Брянск|Брянск|Якутск|Якутск|13.06.2021 13:03:00|13.06.2021 14:46:00|
